cod_ibge;municipio;ARTESANAL;INDUSTRIAL;Pescadores;area_influencia;Quilombos;localidades_indigenas
2908101;Cocos;5;;5;;1;1
2930204;Sento Sé;9022;;9022;;2;1
2900801;Alcobaça;1244;4;1248;;3;1
2928406;Santa Rita de Cássia;530;;530;;3;1
2921500;Monte Santo;21;;21;;4;1
2903201;Barreiras;831;;831;;5;1
2913200;Ibotirama;7141;;7141;;5;1
2903409;Belmonte;859;;859;;0;1
2909406;Cotegipe;707;;707;;0;1
2910727;Eunápolis;13;;13;;0;1
2916302;Itapebi;21;;21;;0;1
2930774;Sobradinho;1256;;1256;;0;1
2910503;Entre Rios;117;;117;;14;1
2929909;Seabra;1;;1;;19;1
2905701;Camaçari;389;1;390;AII;3;2
2930154;Serra do Ramalho;3463;;3463;;18;2
2905602;Camacan;9;;9;;0;2
2915403;Itaju do Colônia;1;;1;;0;2
2924009;Paulo Afonso;206;;206;;0;2
2905800;Camamu;1343;;1343;AII;29;2
2909109;Coribe;18;;18;;0;3
2932507;Una;226;;226;;0;4
2922250;Muquém do São Francisco;1743;;1743;;7;4
2926657;Ribeirão do Largo;1;;1;;3;5
2915601;Itamaraju;154;;154;;0;6
2927101;Rodelas;1009;;1009;;1;8
2923902;Pau Brasil;10;;10;;0;13
2910701;Euclides da Cunha;1;;1;;1;14
2909901;Curaçá;1158;;1158;;7;15
2911402;Glória;309;;309;;0;17
2902658;Banzaê;1;;1;;4;20
2900207;Abaré;232;;232;;3;24
2925501;Prado;1258;1;1259;;0;25
2927705;Santa Cruz Cabrália;400;;400;;0;30
2913606;Ilhéus;1695;3;1698;;1;57
2925303;Porto Seguro;381;;381;;0;67
2901106;Amélia Rodrigues;12;;12;;1;0
2901601;Antas;2;;2;;1;0
2902401;Aurelino Leal;175;;175;;1;0
2907509;Catu;7;;7;;1;0
2907806;Cícero Dantas;4;;4;;1;0
2908408;Conceição do Coité;2;;2;;1;0
2909307;Correntina;100;;100;;1;0
2910404;Encruzilhada;1;;1;;1;0
2911204;Gandu;11;;11;AII;1;0
2911600;Governador Mangabeira;14;;14;AII;1;0
2912202;Ibicoara;2;;2;;1;0
2912509;Ibipitanga;2;;2;;1;0
2914000;Ipirá;2;;2;;1;0
2915809;Itambé;11;;11;;1;0
2915908;Itanagra;3;;3;;1;0
2916500;Itapicuru;1;;1;;1;0
2916856;Itatim;2;;2;;1;0
2917003;Itiúba;1427;;1427;;1;0
2918803;Laje;3;;3;AII;1;0
2919058;Lajedo do Tabocal;2;;2;;1;0
2919553;Luís Eduardo Magalhães;118;;118;;1;0
2919801;Macaúbas;7;;7;;1;0
2920304;Malhada de Pedras;1;;1;;1;0
2922003;Mucuri;370;2;372;;1;0
2922102;Mundo Novo;5;;5;;1;0
2922755;Nova Ibiá;1;;1;;1;0
2923035;Novo Horizonte;3;;3;;1;0
2923803;Paripiranga;1;;1;;1;0
2926004;Remanso;2221;;2221;;1;0
2926301;Riachão do Jacuípe;118;;118;;1;0
2926608;Ribeira do Pombal;1;;1;;1;0
2927002;Rio Real;5;;5;;1;0
2927309;Salinas da Margarida;6653;;6653;AID;1;0
2928703;Santo Antônio de Jesus;69;;69;AID;1;0
2929057;São Félix do Coribe;56;;56;;1;0
2929305;São Gonçalo dos Campos;5;;5;;1;0
2929701;Sátiro Dias;2;;2;;1;0
2931400;Teodoro Sampaio;2;;2;;1;0
2931707;Terra Nova;3;;3;;1;0
2932457;Umburanas;2;;2;;1;0
2904209;Botuporã;1;;1;;2;0
2905503;Caldeirão Grande;2;;2;;2;0
2909802;Cruz das Almas;16;;16;AII;2;0
2910750;Fátima;1;;1;;2;0
2911105;Formosa do Rio Preto;340;;340;;2;0
2912806;Ibirapuã;2;;2;;2;0
2915700;Itamari;3;;3;;2;0
2918506;Jussara;11;;11;;2;0
2921005;Mata de São João;27;;27;;2;0
2922706;Nova Canaã;1;;1;;2;0
2924207;Pedro Alexandre;1;;1;;2;0
2924405;Pilão Arcado;4000;;4000;;2;0
2926103;Retirolândia;1;;1;;2;0
2929800;Saúde;6;;6;;2;0
2931905;Tucano;2;;2;;2;0
2932002;Uauá;1;;1;;2;0
2932606;Urandi;4;;4;;2;0
2933208;Vera Cruz;6822;;6822;ADA;2;0
2900405;Água Fria;3;;3;;3;0
2902807;Barra da Estiva;2;;2;;3;0
2903607;Biritinga;1;;1;;3;0
2906600;Candiba;3;;3;;3;0
2907202;Casa Nova;7209;;7209;;3;0
2916104;Itaparica;3745;;3745;ADA;3;0
2917607;Jaguaquara;3;;3;;3;0
2917904;Jandaíra;843;;843;;3;0
2922607;Nilo Peçanha;1652;;1652;AII;3;0
2924504;Pindaí;3;;3;;3;0
2927507;Santa Bárbara;4;;4;;3;0
2930766;Sítio do Quinto;6;;6;;3;0
2931004;Tanhaçu;1;;1;;3;0
2931350;Teixeira de Freitas;70;;70;;3;0
2931608;Teolândia;7;;7;AII;3;0
2901304;Andaraí;9;;9;;4;0
