cod_ibge;municipio;ARTESANAL;INDUSTRIAL;Pescadores;area_influencia;comunidades_quilombolas;localidades_indigenas;territorio_identidade;populacao_valor;pop_rankBA;populacao;urbanizacao_perc;urbanizacao;quilombolas_valor;quilombolas_perc;quilombolas;indigenas_valor;indigenas_perc;indigenas;analfabetismo_perc;analfabetismo;IDH_2010_valor;IDH_2010_tankBA;IDH_2010;ind.gini_valor;indice_gini;beneficiados_PBF_valor;beneficiados_PBF_perc;beneficiados_PBF;PIB_valor;PIB_escala;PIB_rankBA;PIB;PIB_per_capita_valor;PIB_per_capita_rankBA;PIB_per_capita;VAB_com_serv_2021;VAB_agro_2021;VAB_ind_2021;estoque_emprego_formal_valor;estoque_emprego_formal_rankBA;estoque_emprego_formal;saldo_emp_formal_valor;saldo_emp_formal_rankBA;saldo_emp_formal;estoque_servicos_valor;estoque_servicos_rank;estoque_servicos;estoque_comercio_valor;estoque_comercio_rank;estoque_comercio;estoque_industria_valor;estoque_industria_rank;estoque_industria_2025;estoque_agro_valor;estoque_agro_rank;estoque_agro;estoque_const.civil_valor;estoque_const.civil_rank;estoque_const.civil
2905404;Cairu;2387;;2387;AII;15;0;Baixo Sul;18578;183;18.578 (183° na BA);84,3;84,3% (76,6% na BA);4584;25,8;4.584 (25,80% da pop.);104;0,6;104 (0,60% da pop.);11;11,00% (12,6% na BA);0,627;70;0,627 (70° na BA);53;0,53 (0,62% na BA);9375;50,5;9.375 (50,50% da pop.);1400000000;bi;104;1,4 bi (104° na BA);81207,4;11;81.207,40 (11° na BA);36,4;1,3;62,3;4857;74;4.857 (74° na BA);167;239;167 (239° na BA);4120;1;4.120 (1°);563;2;563 (2°);26;5;26 (5°);81;3;81 (3°);67;4;67 (4°)
2905701;Camaçari;389;1;390;AII;3;2;Metropolitano de Salvador;321636;4;321.636 (4° na BA);97,9;97,9% (76,6% na BA);1619;0,5;1.619 (0,50% da pop.);4837;1,6;4.837 (1,60% da pop.);5,4;5,40% (12,6% na BA);0,694;70;0,694 (70° na BA);53;0,53 (0,62% na BA);101970;31,7;101.970 (31,70% da pop.);27400000000;bi;2;27,4 bi (2° na BA);91283,07;8;91.283,07 (8° na BA);39,5;0,1;60,5;93571;5;93.571 (5° na BA);6343;2;6.343 (2° na BA);41631;1;41.631 (1°);14020;3;14.020 (3°);28815;2;28.815 (2°);182;5;182 (5°);10923;4;10.923 (4°)
2906501;Candeias;1423;;1423;AII;4;0;Metropolitano de Salvador;74854;28;74.854 (28° na BA);91,5;91,5% (76,6% na BA);814;1,1;814 (1,10% da pop.);578;0,8;578 (0,80% da pop.);7,2;7,20% (12,6% na BA);0,691;11;0,691 (11° na BA);48;0,48 (0,62% na BA);29700;39,7;29.700 (39,70% da pop.);5800000000;bi;13;5,8 bi (13° na BA);79439,99;12;79.439,99 (12° na BA);51,7;0,3;48;18861;20;18.861 (20° na BA);-21;408;-21 (408° na BA);11961;1;11.961 (1°);2705;3;2.705 (3°);3629;2;3.629 (2°);47;5;47 (5°);519;4;519 (4°)
2909802;Cruz das Almas;16;;16;AII;2;0;Recôncavo;63326;35;63.326 (35° na BA);78,3;78,3% (76,6% na BA);835;1,4;835 (1,40% da pop.);746;1,2;746 (1,20% da pop.);8,7;8,70% (12,6% na BA);0,699;9;0,699 (9° na BA);55;0,55 (0,62% na BA);22516;35,6;22.516 (35,60% da pop.);1300000000;bi;47;1,3 bi (47° na BA);21196,64;88;21.196,64 (88° na BA);86,5;1,9;11,5;13499;32;13.499 (32° na BA);293;48;293 (48° na BA);6914;1;6.914 (1°);4079;2;4.079 (2°);1625;3;1.625 (3°);631;4;631 (4°);250;5;250 (5°)
2910057;Dias dÁvila;29;;29;AII;0;0;Metropolitano de Salvador;75296;26;75.296 (26° na BA);97,6;97,6% (76,6% na BA);420;0,6;420 (0,60% da pop.);1014;1,4;1.014 (1,40% da pop.);6,5;6,50% (12,6% na BA);0,676;20;0,676 (20° na BA);50;0,5 (0,62% na BA);28199;37,5;28.199 (37,50% da pop.);2400000000;bi;27;2,4 bi (27° na BA);33263,18;38;33.263,18 (38° na BA);37,7;0,1;62,1;15633;27;15.633 (27° na BA);163;76;163 (76° na BA);7780;1;7.780 (1°);2530;3;2.530 (3°);4224;2;4.224 (2°);47;5;47 (5°);1052;4;1.052 (4°)
2919207;Lauro de Freitas;107;;107;AID;8;0;Metropolitano de Salvador;219564;6;219.564 (6° na BA);100;100,0% (76,6% na BA);4856;2,4;4.856 (2,40% da pop.);4836;2,4;4.836 (2,40% da pop.);3,7;3,70% (12,6% na BA);0,754;2;0,754 (2° na BA);63;0,63 (0,62% na BA);58280;26,5;58.280 (26,50% da pop.);8900000000;bi;8;8,9 bi (8° na BA);43861,88;21;43.861,88 (21° na BA);80,7;0;19,3;142165;3;142.165 (3° na BA);5522;4;5.522 (4° na BA);106640;1;106.640 (1°);18144;2;18.144 (2°);7286;4;7.286 (4°);91;5;91 (5°);10001;3;10.001 (3°)
2927408;Salvador;8935;;8935;ADA;41;0;Metropolitano de Salvador;2564204;1;2.564.204 (1° na BA);100;100,0% (76,6% na BA);15897;0,7;15.897 (0,70% da pop.);27715;1,1;27.715 (1,10% da pop.);3,5;3,50% (12,6% na BA);0,759;1;0,759 (1° na BA);63;0,63 (0,62% na BA);622231;24,3;622.231 (24,30% da pop.);76700000000;bi;1;76,7 bi (1° na BA);31724,15;40;31.724,15 (40° na BA);86,7;0,1;13,2;897766;1;897.766 (1° na BA);30441;1;30.441 (1° na BA);665995;1;665.995 (1°);123784;2;123.784 (2°);49805;4;49.805 (4°);1318;5;1.318 (5°);56864;3;56.864 (3°)
2928604;Santo Amaro;5824;;5824;AII;7;0;Recôncavo;58398;38;58.398 (38° na BA);77;77,0% (76,6% na BA);6936;12,4;6.936 (12,40% da pop.);584;1;584 (1,00% da pop.);10,3;10,30% (12,6% na BA);0,646;44;0,646 (44° na BA);56;0,56 (0,62% na BA);26479;45,3;26.479 (45,30% da pop.);1400000000;bi;45;1,4 bi (45° na BA);24562,08;64;24.562,08 (64° na BA);65,3;7,4;27,3;8975;42;8.975 (42° na BA);31;202;31 (202° na BA);6128;1;6.128 (1°);1153;2;1.153 (2°);1025;3;1.025 (3°);356;4;356 (4°);313;5;313 (5°)
2928703;Santo Antônio de Jesus;69;;69;AID;1;0;Recôncavo;109791;18;109.791 (18° na BA);89,5;89,5% (76,6% na BA);157;0,2;157 (0,20% da pop.);298;0,3;298 (0,30% da pop.);8,2;8,20% (12,6% na BA);0,7;8;0,7 (8° na BA);54;0,54 (0,62% na BA);29142;26,5;29.142 (26,50% da pop.);3000000000;bi;25;3 bi (25° na BA);29386,38;43;29.386,38 (43° na BA);79,8;3,1;17,1;30512;15;30.512 (15° na BA);1294;11;1.294 (11° na BA);13335;1;13.335 (1°);8269;2;8.269 (2°);7928;3;7.928 (3°);259;5;259 (5°);721;4;721 (4°)
2929206;São Francisco do Conde;3699;;3699;AII;4;0;Metropolitano de Salvador;41110;60;41.110 (60° na BA);93,4;93,4% (76,6% na BA);2232;5,8;2.232 (5,8% da pop.);760;2;760 (2,0% da pop.);8,2;8,2% (12,6% na BA);0,674;23;0,674 (23° na BA);50;0,5 (0,62% na BA);18591;45,2;18.591 (45,2% da pop.);26500000000;bi;3;26,5 bi (3° na BA);684319,2;1;684.319,2 (1° na BA);32;67,8;0,2;7647;46;7.647 (46° na BA);-105;399;-105 (399° na BA);4777;1;4.777 (1°);1041;3;1.041 (3°);1593;2;1.593 (2°);77;5;77 (5°);159;4;159 (4°)
