codigo_ibge;nome;latitude;longitude;capital;codigo_uf;siafi_id;ddd;fuso_horario
4305439;Chuí;-33.68756687;-53.46267514;0;43;968;53;America/Sao_Paulo
4317301;Santa Vitória do Palmar;-33.51986003;-53.36700638;0;43;8849;53;America/Sao_Paulo
4311007;Jaguarão;-32.56356867;-53.37752292;0;43;8721;53;America/Sao_Paulo
4301305;Arroio Grande;-32.23634413;-53.08224835;0;43;8525;53;America/Sao_Paulo
4315602;Rio Grande;-32.05044579;-52.0867697;0;43;8815;53;America/Sao_Paulo
4307104;Herval;-32.02674355;-53.39433786;0;43;8639;53;America/Sao_Paulo
4318507;São José do Norte;-32.02060911;-52.03420227;0;43;8873;53;America/Sao_Paulo
4300034;Aceguá;-31.8640153;-54.16473154;0;43;1118;53;America/Sao_Paulo
4314209;Pedro Osório;-31.86382822;-52.82631173;0;43;8787;53;America/Sao_Paulo
4305124;Cerrito;-31.85263913;-52.81480233;0;43;966;53;America/Sao_Paulo
4304663;Capão do Leão;-31.76683866;-52.48700757;0;43;8973;53;America/Sao_Paulo
4314175;Pedras Altas;-31.73363694;-53.58717032;0;43;1156;53;America/Sao_Paulo
4314407;Pelotas;-31.71959788;-52.34432006;0;43;8791;53;America/Sao_Paulo
4312450;Morro Redondo;-31.58220323;-52.6577802;0;43;7385;53;America/Sao_Paulo
4314506;Pinheiro Machado;-31.58059267;-53.38461997;0;43;8793;53;America/Sao_Paulo
4304358;Candiota;-31.56100972;-53.67780464;0;43;6083;53;America/Sao_Paulo
4314605;Piratini;-31.44411247;-53.10473445;0;43;8795;53;America/Sao_Paulo
4301073;Arroio do Padre;-31.44064399;-52.4333015;0;43;1122;53;America/Sao_Paulo
4322327;Turuçu;-31.41236586;-52.17141562;0;43;1020;53;America/Sao_Paulo
4309654;Hulha Negra;-31.40509825;-53.86782479;0;43;6085;53;America/Sao_Paulo
4304507;Canguçu;-31.39385952;-52.67628583;0;43;8587;53;America/Sao_Paulo
4318804;São Lourenço do Sul;-31.36402372;-51.97691524;0;43;8879;53;America/Sao_Paulo
4301602;Bagé;-31.33050184;-54.10708329;0;43;8531;53;America/Sao_Paulo
4321352;Tavares;-31.28870266;-51.08884298;0;43;8971;51;America/Sao_Paulo
4312500;Mostardas;-31.10822511;-50.91915885;0;43;8751;51;America/Sao_Paulo
4306056;Cristal;-30.99934519;-52.0494104;0;43;8431;51;America/Sao_Paulo
4306601;Dom Pedrito;-30.98126706;-54.67413018;0;43;8629;53;America/Sao_Paulo
4300851;Arambaré;-30.90934555;-51.50131825;0;43;5779;51;America/Sao_Paulo
4317103;Sant'Ana do Livramento;-30.88938401;-55.53481427;0;43;8845;55;America/Sao_Paulo
4300638;Amaral Ferrador;-30.8751476;-52.2512704;0;43;8493;51;America/Sao_Paulo
4317004;Santana da Boa Vista;-30.87470257;-53.115875;0;43;8843;53;America/Sao_Paulo
